Time (s),0.000000
Number of Particles,458
ID,Type,Position.x (m),Position.y (m),Position.z (m),Velocity.x (m/s),Velocity.y (m/s),Velocity.z (m/s),Pressure (Pa),Number Density Ratio
0,2,-0.025000,-0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,2,-0.025000,-0.015000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,2,-0.025000,-0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,2,-0.025000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,2,-0.025000,0.015000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,2,-0.025000,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,2,-0.025000,0.035000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,2,-0.025000,0.045000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,2,-0.025000,0.055000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,2,-0.025000,0.065000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,2,-0.025000,0.075000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,2,-0.025000,0.085000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,2,-0.025000,0.095000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,2,-0.025000,0.105000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,2,-0.025000,0.115000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,2,-0.025000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,2,-0.025000,0.135000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,2,-0.025000,0.145000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,2,-0.025000,0.155000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,2,-0.025000,0.165000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,2,-0.025000,0.175000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,2,-0.025000,0.185000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,2,-0.025000,0.195000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23,2,-0.025000,0.205000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24,2,-0.025000,0.215000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
25,2,-0.025000,0.225000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26,2,-0.025000,0.235000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
27,2,-0.025000,0.245000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28,2,-0.015000,-0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29,2,-0.015000,-0.015000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,2,-0.015000,-0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
31,2,-0.015000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32,2,-0.015000,0.015000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
33,2,-0.015000,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
34,2,-0.015000,0.035000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
35,2,-0.015000,0.045000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
36,2,-0.015000,0.055000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
37,2,-0.015000,0.065000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
38,2,-0.015000,0.075000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
39,2,-0.015000,0.085000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40,2,-0.015000,0.095000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
41,2,-0.015000,0.105000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
42,2,-0.015000,0.115000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
43,2,-0.015000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
44,2,-0.015000,0.135000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
45,2,-0.015000,0.145000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
46,2,-0.015000,0.155000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
47,2,-0.015000,0.165000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
48,2,-0.015000,0.175000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
49,2,-0.015000,0.185000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50,2,-0.015000,0.195000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
51,2,-0.015000,0.205000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
52,2,-0.015000,0.215000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
53,2,-0.015000,0.225000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
54,2,-0.015000,0.235000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
55,2,-0.015000,0.245000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
56,2,-0.005000,-0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
57,2,-0.005000,-0.015000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
58,1,-0.005000,-0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
59,1,-0.005000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60,1,-0.005000,0.015000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
61,1,-0.005000,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
62,1,-0.005000,0.035000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
63,1,-0.005000,0.045000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
64,1,-0.005000,0.055000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65,1,-0.005000,0.065000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66,1,-0.005000,0.075000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
67,1,-0.005000,0.085000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
68,1,-0.005000,0.095000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
69,1,-0.005000,0.105000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70,1,-0.005000,0.115000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
