Time (s),0.000000
Number of Particles,3152
ID,Type,Position.x (m),Position.y (m),Position.z (m),Velocity.x (m/s),Velocity.y (m/s),Velocity.z (m/s),Pressure (Pa),Number Density Ratio
0,2,-0.017500,-0.017500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,2,-0.017500,-0.012500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,2,-0.017500,-0.007500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,2,-0.017500,-0.002500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,2,-0.017500,0.002500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,2,-0.017500,0.007500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,2,-0.017500,0.012500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,2,-0.017500,0.017500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,2,-0.017500,0.022500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,2,-0.017500,0.027500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,2,-0.017500,0.032500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,2,-0.017500,0.037500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,2,-0.017500,0.042500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,2,-0.017500,0.047500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,2,-0.017500,0.052500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,2,-0.017500,0.057500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,2,-0.017500,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,2,-0.017500,0.067500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,2,-0.017500,0.072500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,2,-0.017500,0.077500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,2,-0.017500,0.082500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,2,-0.017500,0.087500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,2,-0.017500,0.092500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23,2,-0.017500,0.097500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24,2,-0.017500,0.102500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
25,2,-0.017500,0.107500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26,2,-0.017500,0.112500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
27,2,-0.017500,0.117500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28,2,-0.017500,0.122500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29,2,-0.017500,0.127500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,2,-0.017500,0.132500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
31,2,-0.017500,0.137500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32,2,-0.017500,0.142500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
33,2,-0.017500,0.147500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
34,2,-0.017500,0.152500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
35,2,-0.017500,0.157500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
36,2,-0.017500,0.162500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
37,2,-0.017500,0.167500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
38,2,-0.017500,0.172500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
39,2,-0.017500,0.177500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40,2,-0.017500,0.182500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
41,2,-0.017500,0.187500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
42,2,-0.017500,0.192500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
43,2,-0.017500,0.197500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
44,2,-0.017500,0.202500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
45,2,-0.017500,0.207500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
46,2,-0.017500,0.212500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
47,2,-0.017500,0.217500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
48,2,-0.017500,0.222500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
49,2,-0.017500,0.227500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50,2,-0.017500,0.232500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
51,2,-0.017500,0.237500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
52,2,-0.017500,0.242500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
53,2,-0.017500,0.247500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
54,2,-0.017500,0.252500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
55,2,-0.017500,0.257500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
56,2,-0.017500,0.262500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
57,2,-0.017500,0.267500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
58,2,-0.017500,0.272500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
59,2,-0.017500,0.277500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60,2,-0.017500,0.282500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
61,2,-0.017500,0.287500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
62,2,-0.017500,0.292500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
63,2,-0.017500,0.297500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
64,2,-0.017500,0.302500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65,2,-0.017500,0.307500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66,2,-0.017500,0.312500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
67,2,-0.017500,0.317500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
68,2,-0.017500,0.322500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
69,2,-0.017500,0.327500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70,2,-0.017500,0.332500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
71,2,-0.017500,0.337500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72,2,-0.017500,0.342500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73,2,-0.017500,0.347500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74,2,-0.012500,-0.017500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75,1,-0.012500,-0.012500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76,1,-0.012500,-0.007500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
77,1,-0.012500,-0.002500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78,1,-0.012500,0.002500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
79,1,-0.012500,0.007500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80,1,-0.012500,0.012500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81,1,-0.012500,0.017500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82,1,-0.012500,0.022500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
83,1,-0.012500,0.027500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
84,1,-0.012500,0.032500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
85,1,-0.012500,0.037500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
86,1,-0.012500,0.042500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
87,1,-0.012500,0.047500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
88,1,-0.012500,0.052500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
89,1,-0.012500,0.057500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90,1,-0.012500,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91,1,-0.012500,0.067500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92,1,-0.012500,0.072500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93,1,-0.012500,0.077500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94,1,-0.012500,0.082500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
95,1,-0.012500,0.087500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96,1,-0.012500,0.092500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
97,1,-0.012500,0.097500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
98,1,-0.012500,0.102500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
99,1,-0.012500,0.107500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
100,1,-0.012500,0.112500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
101,1,-0.012500,0.117500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
